index;hidden_channels;learning_rate;weight_decay;num_epochs;test_accuracy
343;64;0.3;0.0001;500;0.802
102;16;0.3;0.0001;300;0.802
101;16;0.3;0.0001;200;0.801
161;32;0.05;0.0001;200;0.801
162;32;0.05;0.0001;300;0.8
228;32;0.3;0.0005;500;0.8
2;16;0.001;0.0001;300;0.799
127;32;0.001;0.0005;300;0.798
281;64;0.05;0.0001;200;0.798
302;64;0.1;0.0001;300;0.797
103;16;0.3;0.0001;500;0.797
326;64;0.2;0.0005;200;0.796
321;64;0.2;0.0001;200;0.794
222;32;0.3;0.0001;300;0.794
7;16;0.001;0.0005;300;0.794
88;16;0.2;0.0005;500;0.794
340;64;0.3;0.0001;100;0.793
122;32;0.001;0.0001;300;0.793
220;32;0.3;0.0001;100;0.79
100;16;0.3;0.0001;100;0.783
126;32;0.001;0.0005;200;0.769
121;32;0.001;0.0001;200;0.768
1;16;0.001;0.0001;200;0.763
80;16;0.2;0.0001;100;0.759
328;64;0.2;0.0005;500;0.758
245;64;0.001;0.0005;100;0.756
240;64;0.001;0.0001;100;0.752
6;16;0.001;0.0005;200;0.752
182;32;0.1;0.0001;300;0.75
344;64;0.3;0.0001;700;0.732
120;32;0.001;0.0001;100;0.722
125;32;0.001;0.0005;100;0.716
0;16;0.001;0.0001;100;0.706
348;64;0.3;0.0005;500;0.701
5;16;0.001;0.0005;100;0.694
130;32;0.001;0.01;100;0.483
10;16;0.001;0.01;100;0.457
250;64;0.001;0.01;100;0.335
11;16;0.001;0.01;200;0.321
219;32;0.2;0.05;700;0.319
277;64;0.01;0.05;300;0.319
177;32;0.05;0.05;300;0.319
39;16;0.01;0.05;700;0.319
116;16;0.3;0.05;200;0.319
159;32;0.01;0.05;700;0.319
37;16;0.01;0.05;300;0.319
217;32;0.2;0.05;300;0.319
197;32;0.1;0.05;300;0.319
317;64;0.1;0.05;300;0.319
12;16;0.001;0.01;300;0.265
131;32;0.001;0.01;200;0.26
135;32;0.001;0.05;100;0.233
255;64;0.001;0.05;100;0.215
15;16;0.001;0.05;100;0.208
132;32;0.001;0.01;300;0.204
94;16;0.2;0.01;700;0.202
13;16;0.001;0.01;500;0.194
256;64;0.001;0.05;200;0.19
136;32;0.001;0.05;200;0.189
313;64;0.1;0.01;500;0.181
353;64;0.3;0.01;500;0.177
71;16;0.1;0.01;200;0.175
257;64;0.001;0.05;300;0.175
16;16;0.001;0.05;200;0.175
14;16;0.001;0.01;700;0.174
310;64;0.1;0.01;100;0.173
258;64;0.001;0.05;500;0.172
113;16;0.3;0.01;500;0.172
133;32;0.001;0.01;500;0.172
137;32;0.001;0.05;300;0.17
251;64;0.001;0.01;200;0.169
17;16;0.001;0.05;300;0.169
18;16;0.001;0.05;500;0.166
252;64;0.001;0.01;300;0.165
73;16;0.1;0.01;500;0.165
253;64;0.001;0.01;500;0.162
173;32;0.05;0.01;500;0.161
19;16;0.001;0.05;700;0.161
70;16;0.1;0.01;100;0.159
138;32;0.001;0.05;500;0.159
134;32;0.001;0.01;700;0.157
74;16;0.1;0.01;700;0.155
139;32;0.001;0.05;700;0.155
171;32;0.05;0.01;200;0.154
172;32;0.05;0.01;300;0.154
192;32;0.1;0.01;300;0.153
259;64;0.001;0.05;700;0.153
314;64;0.1;0.01;700;0.153
292;64;0.05;0.01;300;0.153
191;32;0.1;0.01;200;0.152
294;64;0.05;0.01;700;0.152
90;16;0.2;0.01;100;0.152
352;64;0.3;0.01;300;0.152
330;64;0.2;0.01;100;0.152
50;16;0.05;0.01;100;0.151
30;16;0.01;0.01;100;0.151
254;64;0.001;0.01;700;0.151
210;32;0.2;0.01;100;0.151
110;16;0.3;0.01;100;0.15
194;32;0.1;0.01;700;0.15
234;32;0.3;0.01;700;0.15
270;64;0.01;0.01;100;0.15
95;16;0.2;0.05;100;0.149
337;64;0.2;0.05;300;0.149
274;64;0.01;0.01;700;0.149
52;16;0.05;0.01;300;0.149
297;64;0.05;0.05;300;0.149
293;64;0.05;0.01;500;0.149
290;64;0.05;0.01;100;0.149
78;16;0.1;0.05;500;0.149
99;16;0.2;0.05;700;0.149
238;32;0.3;0.05;500;0.149
170;32;0.05;0.01;100;0.149
157;32;0.01;0.05;300;0.149
150;32;0.01;0.01;100;0.149
211;32;0.2;0.01;200;0.149
119;16;0.3;0.05;700;0.149
333;64;0.2;0.01;500;0.149
154;32;0.01;0.01;700;0.148
231;32;0.3;0.01;200;0.148
151;32;0.01;0.01;200;0.148
31;16;0.01;0.01;200;0.148
32;16;0.01;0.01;300;0.148
111;16;0.3;0.01;200;0.148
33;16;0.01;0.01;500;0.148
214;32;0.2;0.01;700;0.148
93;16;0.2;0.01;500;0.148
153;32;0.01;0.01;500;0.148
230;32;0.3;0.01;100;0.148
34;16;0.01;0.01;700;0.148
51;16;0.05;0.01;200;0.148
271;64;0.01;0.01;200;0.148
91;16;0.2;0.01;200;0.148
152;32;0.01;0.01;300;0.148
272;64;0.01;0.01;300;0.148
273;64;0.01;0.01;500;0.148
54;16;0.05;0.01;700;0.147
291;64;0.05;0.01;200;0.147
232;32;0.3;0.01;300;0.147
174;32;0.05;0.01;700;0.146
112;16;0.3;0.01;300;0.146
351;64;0.3;0.01;200;0.145
212;32;0.2;0.01;300;0.145
339;64;0.2;0.05;700;0.144
336;64;0.2;0.05;200;0.144
296;64;0.05;0.05;200;0.144
357;64;0.3;0.05;300;0.144
38;16;0.01;0.05;500;0.144
196;32;0.1;0.05;200;0.144
58;16;0.05;0.05;500;0.144
236;32;0.3;0.05;200;0.144
175;32;0.05;0.05;100;0.144
77;16;0.1;0.05;300;0.144
176;32;0.05;0.05;200;0.144
92;16;0.2;0.01;300;0.144
350;64;0.3;0.01;100;0.144
312;64;0.1;0.01;300;0.143
311;64;0.1;0.01;200;0.143
53;16;0.05;0.01;500;0.143
233;32;0.3;0.01;500;0.143
72;16;0.1;0.01;300;0.143
190;32;0.1;0.01;100;0.142
332;64;0.2;0.01;300;0.141
193;32;0.1;0.01;500;0.14
331;64;0.2;0.01;200;0.137
114;16;0.3;0.01;700;0.137
213;32;0.2;0.01;500;0.131
195;32;0.1;0.05;100;0.13
36;16;0.01;0.05;200;0.13
239;32;0.3;0.05;700;0.13
155;32;0.01;0.05;100;0.13
235;32;0.3;0.05;100;0.13
276;64;0.01;0.05;200;0.13
356;64;0.3;0.05;200;0.13
278;64;0.01;0.05;500;0.13
55;16;0.05;0.05;100;0.13
295;64;0.05;0.05;100;0.13
334;64;0.2;0.01;700;0.124
96;16;0.2;0.05;200;0.103
355;64;0.3;0.05;100;0.103
97;16;0.2;0.05;300;0.103
315;64;0.1;0.05;100;0.103
57;16;0.05;0.05;300;0.103
56;16;0.05;0.05;200;0.103
358;64;0.3;0.05;500;0.103
318;64;0.1;0.05;500;0.103
198;32;0.1;0.05;500;0.103
298;64;0.05;0.05;500;0.103
338;64;0.2;0.05;500;0.091
178;32;0.05;0.05;500;0.091
359;64;0.3;0.05;700;0.091
158;32;0.01;0.05;500;0.091
316;64;0.1;0.05;200;0.091
199;32;0.1;0.05;700;0.091
75;16;0.1;0.05;100;0.091
76;16;0.1;0.05;200;0.091
279;64;0.01;0.05;700;0.091
275;64;0.01;0.05;100;0.091
179;32;0.05;0.05;700;0.091
115;16;0.3;0.05;100;0.091
117;16;0.3;0.05;300;0.091
216;32;0.2;0.05;200;0.091
354;64;0.3;0.01;700;0.082
218;32;0.2;0.05;500;0.064
156;32;0.01;0.05;200;0.064
215;32;0.2;0.05;100;0.064
335;64;0.2;0.05;100;0.064
118;16;0.3;0.05;500;0.064
237;32;0.3;0.05;300;0.064
79;16;0.1;0.05;700;0.064
59;16;0.05;0.05;700;0.064
299;64;0.05;0.05;700;0.064
319;64;0.1;0.05;700;0.064
98;16;0.2;0.05;500;0.064
35;16;0.01;0.05;100;0.063
